source,file_name,audio_path,speaker_id,word,target_sound,label,round
speakclear,basket-1.wav,wav/basket-1.wav,self,basket,s,clear,1
speakclear,basket-2.wav,wav/basket-2.wav,self,basket,s,clear,2
speakclear,basket-3.wav,wav/basket-3.wav,self,basket,s,clear,3
speakclear,basket-4.wav,wav/basket-4.wav,self,basket,s,clear,4
speakclear,basket-5.wav,wav/basket-5.wav,self,basket,s,clear,5
speakclear,bus-1.wav,wav/bus-1.wav,self,bus,s,clear,1
speakclear,bus-2.wav,wav/bus-2.wav,self,bus,s,clear,2
speakclear,bus-3.wav,wav/bus-3.wav,self,bus,s,clear,3
speakclear,bus-4.wav,wav/bus-4.wav,self,bus,s,clear,4
speakclear,bus-5.wav,wav/bus-5.wav,self,bus,s,clear,5
speakclear,buzz-1.wav,wav/buzz-1.wav,self,buzz,z,unclear,1
speakclear,buzz-2.wav,wav/buzz-2.wav,self,buzz,z,unclear,2
speakclear,buzz-3.wav,wav/buzz-3.wav,self,buzz,z,clear,3
speakclear,buzz-4.wav,wav/buzz-4.wav,self,buzz,z,unclear,4
speakclear,buzz-5.wav,wav/buzz-5.wav,self,buzz,z,clear,5
speakclear,cheese-1.wav,wav/cheese-1.wav,self,cheese,z,unclear,1
speakclear,cheese-2.wav,wav/cheese-2.wav,self,cheese,z,clear,2
speakclear,cheese-3.wav,wav/cheese-3.wav,self,cheese,z,clear,3
speakclear,cheese-4.wav,wav/cheese-4.wav,self,cheese,z,clear,4
speakclear,cheese-5.wav,wav/cheese-5.wav,self,cheese,z,clear,5
speakclear,class-1.wav,wav/class-1.wav,self,class,s,clear,1
speakclear,class-2.wav,wav/class-2.wav,self,class,s,clear,2
speakclear,class-3.wav,wav/class-3.wav,self,class,s,clear,3
speakclear,class-4.wav,wav/class-4.wav,self,class,s,clear,4
speakclear,class-5.wav,wav/class-5.wav,self,class,s,clear,5
speakclear,lazy-1.wav,wav/lazy-1.wav,self,lazy,z,clear,1
speakclear,lazy-2.wav,wav/lazy-2.wav,self,lazy,z,clear,2
speakclear,lazy-3.wav,wav/lazy-3.wav,self,lazy,z,clear,3
speakclear,lazy-4.wav,wav/lazy-4.wav,self,lazy,z,clear,4
speakclear,lazy-5.wav,wav/lazy-5.wav,self,lazy,z,unclear,5
speakclear,music-1.wav,wav/music-1.wav,self,music,z,unclear,1
speakclear,music-2.wav,wav/music-2.wav,self,music,z,clear,2
speakclear,music-3.wav,wav/music-3.wav,self,music,z,clear,3
speakclear,music-4.wav,wav/music-4.wav,self,music,z,clear,4
speakclear,music-5.wav,wav/music-5.wav,self,music,z,clear,5
speakclear,pencil-1.wav,wav/pencil-1.wav,self,pencil,s,clear,1
speakclear,pencil-2.wav,wav/pencil-2.wav,self,pencil,s,clear,2
speakclear,pencil-3.wav,wav/pencil-3.wav,self,pencil,s,clear,3
speakclear,pencil-4.wav,wav/pencil-4.wav,self,pencil,s,clear,4
speakclear,pencil-5.wav,wav/pencil-5.wav,self,pencil,s,clear,5
speakclear,puzzle-1.wav,wav/puzzle-1.wav,self,puzzle,z,clear,1
speakclear,puzzle-2.wav,wav/puzzle-2.wav,self,puzzle,z,clear,2
speakclear,puzzle-3.wav,wav/puzzle-3.wav,self,puzzle,z,clear,3
speakclear,puzzle-4.wav,wav/puzzle-4.wav,self,puzzle,z,clear,4
speakclear,puzzle-5.wav,wav/puzzle-5.wav,self,puzzle,z,clear,5
speakclear,racing-1.wav,wav/racing-1.wav,self,racing,s,clear,1
speakclear,racing-2.wav,wav/racing-2.wav,self,racing,s,clear,2
speakclear,racing-3.wav,wav/racing-3.wav,self,racing,s,clear,3
speakclear,racing-4.wav,wav/racing-4.wav,self,racing,s,clear,4
speakclear,racing-5.wav,wav/racing-5.wav,self,racing,s,clear,5
speakclear,science-1.wav,wav/science-1.wav,self,science,s,clear,1
speakclear,science-2.wav,wav/science-2.wav,self,science,s,clear,2
speakclear,science-3.wav,wav/science-3.wav,self,science,s,clear,3
speakclear,science-4.wav,wav/science-4.wav,self,science,s,clear,4
speakclear,science-5.wav,wav/science-5.wav,self,science,s,clear,5
speakclear,seal-1.wav,wav/seal-1.wav,self,seal,s,unclear,1
speakclear,seal-2.wav,wav/seal-2.wav,self,seal,s,clear,2
speakclear,seal-3.wav,wav/seal-3.wav,self,seal,s,unclear,3
speakclear,seal-4.wav,wav/seal-4.wav,self,seal,s,clear,4
speakclear,seal-5.wav,wav/seal-5.wav,self,seal,s,unclear,5
speakclear,seven-1.wav,wav/seven-1.wav,self,seven,s,clear,1
speakclear,seven-2.wav,wav/seven-2.wav,self,seven,s,unclear,2
speakclear,seven-3.wav,wav/seven-3.wav,self,seven,s,clear,3
speakclear,seven-4.wav,wav/seven-4.wav,self,seven,s,clear,4
speakclear,seven-5.wav,wav/seven-5.wav,self,seven,s,clear,5
speakclear,sister-1.wav,wav/sister-1.wav,self,sister,s,clear,1
speakclear,sister-2.wav,wav/sister-2.wav,self,sister,s,unclear,2
speakclear,sister-3.wav,wav/sister-3.wav,self,sister,s,unclear,3
speakclear,sister-4.wav,wav/sister-4.wav,self,sister,s,clear,4
speakclear,sister-5.wav,wav/sister-5.wav,self,sister,s,unclear,5
speakclear,sun-1.wav,wav/sun-1.wav,self,sun,s,unclear,1
speakclear,sun-2.wav,wav/sun-2.wav,self,sun,s,clear,2
speakclear,sun-3.wav,wav/sun-3.wav,self,sun,s,unclear,3
speakclear,sun-4.wav,wav/sun-4.wav,self,sun,s,unclear,4
speakclear,sun-5.wav,wav/sun-5.wav,self,sun,s,unclear,5
speakclear,zebra-1.wav,wav/zebra-1.wav,self,zebra,z,clear,1
speakclear,zebra-2.wav,wav/zebra-2.wav,self,zebra,z,clear,2
speakclear,zebra-3.wav,wav/zebra-3.wav,self,zebra,z,clear,3
speakclear,zebra-4.wav,wav/zebra-4.wav,self,zebra,z,clear,4
speakclear,zebra-5.wav,wav/zebra-5.wav,self,zebra,z,clear,5
speakclear,zero-1.wav,wav/zero-1.wav,self,zero,z,clear,1
speakclear,zero-2.wav,wav/zero-2.wav,self,zero,z,unclear,2
speakclear,zero-3.wav,wav/zero-3.wav,self,zero,z,clear,3
speakclear,zero-4.wav,wav/zero-4.wav,self,zero,z,unclear,4
speakclear,zero-5.wav,wav/zero-5.wav,self,zero,z,clear,5
speakclear,zipper-1.wav,wav/zipper-1.wav,self,zipper,z,clear,1
speakclear,zipper-2.wav,wav/zipper-2.wav,self,zipper,z,unclear,2
speakclear,zipper-3.wav,wav/zipper-3.wav,self,zipper,z,clear,3
speakclear,zipper-4.wav,wav/zipper-4.wav,self,zipper,z,clear,4
speakclear,zipper-5.wav,wav/zipper-5.wav,self,zipper,z,clear,5
speakclear,zone-1.wav,wav/zone-1.wav,self,zone,z,clear,1
speakclear,zone-2.wav,wav/zone-2.wav,self,zone,z,clear,2
speakclear,zone-3.wav,wav/zone-3.wav,self,zone,z,clear,3
speakclear,zone-4.wav,wav/zone-4.wav,self,zone,z,clear,4
speakclear,zone-5.wav,wav/zone-5.wav,self,zone,z,clear,5
speakclear,zoo-1.wav,wav/zoo-1.wav,self,zoo,z,unclear,1
speakclear,zoo-2.wav,wav/zoo-2.wav,self,zoo,z,clear,2
speakclear,zoo-3.wav,wav/zoo-3.wav,self,zoo,z,clear,3
speakclear,zoo-4.wav,wav/zoo-4.wav,self,zoo,z,clear,4
speakclear,zoo-5.wav,wav/zoo-5.wav,self,zoo,z,clear,5
speakclear,lazy_lizards_love_music-1.wav,wav/lazy_lizards_love_music-1.wav,self,lazy lizards love music,z,clear,1
speakclear,lazy_lizards_love_music-2.wav,wav/lazy_lizards_love_music-2.wav,self,lazy lizards love music,z,clear,2
speakclear,lazy_lizards_love_music-3.wav,wav/lazy_lizards_love_music-3.wav,self,lazy lizards love music,z,clear,3
speakclear,please_pass_the_cheese-1.wav,wav/please_pass_the_cheese-1.wav,self,please pass the cheese,z,unclear,1
speakclear,please_pass_the_cheese-2.wav,wav/please_pass_the_cheese-2.wav,self,please pass the cheese,z,clear,2
speakclear,please_pass_the_cheese-3.wav,wav/please_pass_the_cheese-3.wav,self,please pass the cheese,z,clear,3
speakclear,science_sometimes_sounds_stressful-1.wav,wav/science_sometimes_sounds_stressful-1.wav,self,science sometimes sounds stressful,s,clear,1
speakclear,science_sometimes_sounds_stressful-2.wav,wav/science_sometimes_sounds_stressful-2.wav,self,science sometimes sounds stressful,s,clear,2
speakclear,science_sometimes_sounds_stressful-3.wav,wav/science_sometimes_sounds_stressful-3.wav,self,science sometimes sounds stressful,s,clear,3
speakclear,seven_sisters_sat_silently-1.wav,wav/seven_sisters_sat_silently-1.wav,self,seven sisters sat silently,s,clear,1
speakclear,seven_sisters_sat_silently-2.wav,wav/seven_sisters_sat_silently-2.wav,self,seven sisters sat silently,s,clear,2
speakclear,seven_sisters_sat_silently-3.wav,wav/seven_sisters_sat_silently-3.wav,self,seven sisters sat silently,s,clear,3
speakclear,seven_students_solved_the_puzzle-1.wav,wav/seven_students_solved_the_puzzle-1.wav,self,seven students solved the puzzle,mixed,clear,1
speakclear,seven_students_solved_the_puzzle-2.wav,wav/seven_students_solved_the_puzzle-2.wav,self,seven students solved the puzzle,mixed,unclear,2
speakclear,seven_students_solved_the_puzzle-3.wav,wav/seven_students_solved_the_puzzle-3.wav,self,seven students solved the puzzle,mixed,clear,3
speakclear,six_roses_were_beside_the_cheese-1.wav,wav/six_roses_were_beside_the_cheese-1.wav,self,six roses were beside the cheese,mixed,clear,1
speakclear,six_roses_were_beside_the_cheese-2.wav,wav/six_roses_were_beside_the_cheese-2.wav,self,six roses were beside the cheese,mixed,clear,2
speakclear,six_roses_were_beside_the_cheese-3.wav,wav/six_roses_were_beside_the_cheese-3.wav,self,six roses were beside the cheese,mixed,clear,3
speakclear,six_students_studied_science-1.wav,wav/six_students_studied_science-1.wav,self,six students studied science,s,clear,1
speakclear,six_students_studied_science-2.wav,wav/six_students_studied_science-2.wav,self,six students studied science,s,clear,2
speakclear,six_students_studied_science-3.wav,wav/six_students_studied_science-3.wav,self,six students studied science,s,clear,3
