evaluation_context,experiment,model,accuracy,balanced_accuracy,macro_f1,unclear_precision,unclear_recall,unclear_f1,test_clear_support,test_unclear_support
SpeakClear internal evaluation,SpeakClear Only,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.0,0.0,0.0,47,14
SpeakClear internal evaluation,SpeakClear Only,Logistic Regression,0.639344262295082,0.6155015197568389,0.5795739348370927,0.3333333333333333,0.5714285714285714,0.4210526315789473,47,14
SpeakClear internal evaluation,SpeakClear Only,Random Forest,0.7540983606557377,0.6648936170212766,0.660734149054505,0.4666666666666667,0.5,0.4827586206896552,47,14
SpeakClear internal evaluation,SpeakClear Only,SVM,0.7377049180327869,0.7545592705167173,0.6942355889724311,0.4583333333333333,0.7857142857142857,0.5789473684210527,47,14
SpeechOcean internal evaluation,SpeechOcean Only,Majority Baseline,0.7076124567474048,0.5,0.414387031408308,0.0,0.0,0.0,409,169
SpeechOcean internal evaluation,SpeechOcean Only,Logistic Regression,0.7768166089965398,0.7537579028081192,0.7417453197790209,0.6020408163265306,0.6982248520710059,0.6465753424657534,409,169
SpeechOcean internal evaluation,SpeechOcean Only,Random Forest,0.7577854671280276,0.6187844504564459,0.6273028739867355,0.7164179104477612,0.2840236686390532,0.4067796610169492,409,169
SpeechOcean internal evaluation,SpeechOcean Only,SVM,0.7249134948096886,0.7170830861822022,0.6942663716961359,0.5221238938053098,0.6982248520710059,0.5974683544303797,409,169
Transfer to held-out SpeakClear test set,SpeakClear Only,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.0,0.0,0.0,47,14
Transfer to held-out SpeakClear test set,SpeakClear Only,Logistic Regression,0.639344262295082,0.6155015197568389,0.5795739348370927,0.3333333333333333,0.5714285714285714,0.4210526315789473,47,14
Transfer to held-out SpeakClear test set,SpeakClear Only,Random Forest,0.7540983606557377,0.6648936170212766,0.660734149054505,0.4666666666666667,0.5,0.4827586206896552,47,14
Transfer to held-out SpeakClear test set,SpeakClear Only,SVM,0.7377049180327869,0.7545592705167173,0.6942355889724311,0.4583333333333333,0.7857142857142857,0.5789473684210527,47,14
Transfer to held-out SpeakClear test set,SpeechOcean Only,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.0,0.0,0.0,47,14
Transfer to held-out SpeakClear test set,SpeechOcean Only,Logistic Regression,0.3934426229508196,0.581306990881459,0.392789884315308,0.2653061224489796,0.9285714285714286,0.4126984126984127,47,14
Transfer to held-out SpeakClear test set,SpeechOcean Only,Random Forest,0.5737704918032787,0.648176291793313,0.553490990990991,0.3235294117647059,0.7857142857142857,0.4583333333333333,47,14
Transfer to held-out SpeakClear test set,SpeechOcean Only,SVM,0.4590163934426229,0.5987841945288753,0.4566801619433198,0.2790697674418604,0.8571428571428571,0.4210526315789473,47,14
Transfer to held-out SpeakClear test set,SpeechOcean + SpeakClear,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.0,0.0,0.0,47,14
Transfer to held-out SpeakClear test set,SpeechOcean + SpeakClear,Logistic Regression,0.5573770491803278,0.6876899696048633,0.549630844954881,0.3333333333333333,0.9285714285714286,0.490566037735849,47,14
Transfer to held-out SpeakClear test set,SpeechOcean + SpeakClear,Random Forest,0.8032786885245902,0.7218844984802432,0.7218844984802432,0.5714285714285714,0.5714285714285714,0.5714285714285714,47,14
Transfer to held-out SpeakClear test set,SpeechOcean + SpeakClear,SVM,0.6885245901639344,0.6975683890577508,0.6419524250849552,0.4,0.7142857142857143,0.5128205128205128,47,14
