experiment,model,accuracy,balanced_accuracy,macro_f1,unclear_precision,unclear_recall,unclear_f1,test_clear_support,test_unclear_support
SpeakClear Only,SVM,0.7377049180327869,0.7545592705167173,0.6942355889724311,0.4583333333333333,0.7857142857142857,0.5789473684210527,47,14
SpeechOcean + SpeakClear,Random Forest,0.8032786885245902,0.7218844984802432,0.7218844984802432,0.5714285714285714,0.5714285714285714,0.5714285714285714,47,14
SpeechOcean + SpeakClear,SVM,0.6885245901639344,0.6975683890577508,0.6419524250849552,0.4,0.7142857142857143,0.5128205128205128,47,14
SpeechOcean + SpeakClear,Logistic Regression,0.5573770491803278,0.6876899696048633,0.549630844954881,0.3333333333333333,0.9285714285714286,0.490566037735849,47,14
SpeakClear Only,Random Forest,0.7540983606557377,0.6648936170212766,0.660734149054505,0.4666666666666667,0.5,0.4827586206896552,47,14
SpeechOcean Only,Random Forest,0.5737704918032787,0.648176291793313,0.553490990990991,0.3235294117647059,0.7857142857142857,0.4583333333333333,47,14
SpeakClear Only,Logistic Regression,0.639344262295082,0.6155015197568389,0.5795739348370927,0.3333333333333333,0.5714285714285714,0.4210526315789473,47,14
SpeechOcean Only,SVM,0.4590163934426229,0.5987841945288753,0.4566801619433198,0.2790697674418604,0.8571428571428571,0.4210526315789473,47,14
SpeechOcean Only,Logistic Regression,0.3934426229508196,0.581306990881459,0.392789884315308,0.2653061224489796,0.9285714285714286,0.4126984126984127,47,14
SpeakClear Only,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.0,0.0,0.0,47,14
SpeechOcean Only,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.0,0.0,0.0,47,14
SpeechOcean + SpeakClear,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.0,0.0,0.0,47,14
