experiment,model,train_size,test_size,accuracy,balanced_accuracy,macro_f1,clear_precision,clear_recall,clear_f1,unclear_precision,unclear_recall,unclear_f1,test_clear_support,test_unclear_support
SpeakClear Only,Majority Baseline,181,61,0.7704918032786885,0.5,0.4351851851851852,0.7704918032786885,1.0,0.8703703703703703,0.0,0.0,0.0,47,14
SpeakClear Only,Logistic Regression,181,61,0.639344262295082,0.6155015197568389,0.5795739348370927,0.8378378378378378,0.6595744680851063,0.7380952380952381,0.3333333333333333,0.5714285714285714,0.42105263157894735,47,14
SpeakClear Only,Random Forest,181,61,0.7540983606557377,0.6648936170212766,0.660734149054505,0.8478260869565217,0.8297872340425532,0.8387096774193549,0.4666666666666667,0.5,0.4827586206896552,47,14
SpeakClear Only,SVM,181,61,0.7377049180327869,0.7545592705167173,0.6942355889724311,0.918918918918919,0.723404255319149,0.8095238095238095,0.4583333333333333,0.7857142857142857,0.5789473684210527,47,14
SpeechOcean Only,Majority Baseline,2112,61,0.7704918032786885,0.5,0.4351851851851852,0.7704918032786885,1.0,0.8703703703703703,0.0,0.0,0.0,47,14
SpeechOcean Only,Logistic Regression,2112,61,0.39344262295081966,0.581306990881459,0.39278988431530804,0.9166666666666666,0.23404255319148937,0.3728813559322034,0.2653061224489796,0.9285714285714286,0.4126984126984127,47,14
SpeechOcean Only,Random Forest,2112,61,0.5737704918032787,0.648176291793313,0.553490990990991,0.8888888888888888,0.5106382978723404,0.6486486486486487,0.3235294117647059,0.7857142857142857,0.4583333333333333,47,14
SpeechOcean Only,SVM,2112,61,0.45901639344262296,0.5987841945288753,0.45668016194331984,0.8888888888888888,0.3404255319148936,0.49230769230769234,0.27906976744186046,0.8571428571428571,0.42105263157894735,47,14
SpeechOcean + SpeakClear,Majority Baseline,2293,61,0.7704918032786885,0.5,0.4351851851851852,0.7704918032786885,1.0,0.8703703703703703,0.0,0.0,0.0,47,14
SpeechOcean + SpeakClear,Logistic Regression,2293,61,0.5573770491803278,0.6876899696048633,0.549630844954881,0.9545454545454546,0.44680851063829785,0.6086956521739131,0.3333333333333333,0.9285714285714286,0.49056603773584906,47,14
SpeechOcean + SpeakClear,Random Forest,2293,61,0.8032786885245902,0.7218844984802432,0.7218844984802432,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.5714285714285714,0.5714285714285714,0.5714285714285714,47,14
SpeechOcean + SpeakClear,SVM,2293,61,0.6885245901639344,0.6975683890577508,0.6419524250849552,0.8888888888888888,0.6808510638297872,0.7710843373493976,0.4,0.7142857142857143,0.5128205128205128,47,14
